Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.5CB100.I47PA23Rot1Rout200.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.5,1,1,200,100,FALSE,FALSE,TRUE,0.13279,19547000,9.5425,3547300,253.49,13994,59.46443401
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.3CB250.I47PA23Rot-1Rout300.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.3,-1,1,300,250,FALSE,FALSE,TRUE,0.15408,42398000,20.698,2905200,206.64,14059,59.74063726
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.4CB100.I47PA23Rot1Rout200.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.4,1,1,200,100,FALSE,FALSE,TRUE,0.12152,26421000,12.899,3334500,237.18,14059,59.74063726
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.3CB1.I47PA23Rot1Rout200.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.3,1,1,200,1,TRUE,FALSE,FALSE,0.14201,34642000,16.912,3409700,242.52,14059,59.74063726
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.9CB100.I47PA23Rot1Rout200.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.9,1,1,200,100,FALSE,FALSE,TRUE,0.16083,28133000,13.734,3767200,267.35,14091,59.87661424
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.9CB1.I47PA23Rot1Rout200.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.9,1,1,200,1,TRUE,FALSE,FALSE,0.16684,35488000,17.325,4002300,283.35,14125,60.02108978
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.1CB400.I47PA23Rot1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.1,1,300,400,400,FALSE,TRUE,FALSE,0.13874,39691000,19.377,2534300,178.6,14190,60.29729303
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.2CB200.I47PA23Rot1Rout300.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.2,1,200,300,200,TRUE,FALSE,FALSE,0.12201,24632000,12.025,2846500,199.85,14243,60.52250491
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.3CB200.I47PA23Rot-1Rout300.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.3,-1,1,300,200,FALSE,FALSE,TRUE,0.16494,46981000,22.935,3054500,208.4,14657,62.28170711
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.1CB300.I47PA23Rot1Rout300.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.1,1,200,300,300,FALSE,TRUE,FALSE,0.16486,37613000,18.362,3698700,248.67,14874,63.20380102
