Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.7CB300.I70.3PA177.1Rot-1Rout300.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.7,-1,100,300,300,FALSE,TRUE,FALSE,0.014136,1788400,0.88003,0,0,1,0.004246229
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.9CB250.I70.3PA177.1Rot-1Rout300.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.9,-1,100,300,250,FALSE,FALSE,TRUE,0.012255,7384400,3.6336,0,0,1,0.004246229
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.5CB150.I70.3PA177.1Rot-1Rout200.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.5,-1,100,200,150,FALSE,FALSE,TRUE,0.012286,7373000,3.628,0.013134,0.006567,2,0.008492457
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M1.3CB400.I70.3PA177.1Rot-1Rout400.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,1.3,-1,100,400,400,FALSE,TRUE,FALSE,0.013967,1895500,0.9327,0.058906,0.029453,2,0.008492457
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.9CB200.I70.3PA177.1Rot-1Rout300.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.9,-1,100,300,200,FALSE,FALSE,TRUE,0.012404,7379100,3.631,0.094436,0.031479,3,0.012738686
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M1.1CB400.I70.3PA177.1Rot-1Rout400.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,1.1,-1,100,400,400,FALSE,TRUE,FALSE,0.014117,1904300,0.93705,0.098922,0.049461,2,0.008492457
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.5CB200.I70.3PA177.1Rot-1Rout200.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.5,-1,100,200,200,FALSE,TRUE,FALSE,0.013683,1701600,0.83731,0.16278,0.081388,2,0.008492457
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.3CB200.I70.3PA177.1Rot-1Rout200.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.3,-1,100,200,200,FALSE,TRUE,FALSE,0.01409,1718500,0.84559,0.17005,0.085025,2,0.008492457
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.5CB300.I70.3PA177.1Rot-1Rout300.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.5,-1,1,300,300,FALSE,TRUE,FALSE,0.013105,1756100,0.86412,0.18943,0.063144,3,0.012738686
Per-emb-50-Vsys7.21_LineC18O_21_Pix0.054as-0.041666855395845kmps_D300M0.3CB300.I70.3PA177.1Rot-1Rout300.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.36_Beam0.552x0.396PA-15.13.fits,0.3,-1,1,300,300,FALSE,TRUE,FALSE,0.013097,1751400,0.86182,0.20243,0.067478,3,0.012738686
