Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.1CB1.I71PA16Rot1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.1,1,1,100,1,TRUE,FALSE,FALSE,0.057533,4037000,1.9865,301540,47.293,6376,28.72135373
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.2CB1.I71PA16Rot-1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.2,-1,1,100,1,TRUE,FALSE,FALSE,0.053809,3191200,1.7205,303680,45.197,6719,30.26643282
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.1CB1.I71PA16Rot-1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.1,-1,1,100,1,TRUE,FALSE,FALSE,0.057315,3823400,1.8814,293170,43.342,6764,30.46914
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.2CB1.I71PA16Rot1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.2,1,1,100,1,TRUE,FALSE,FALSE,0.05322,3568100,1.7557,309930,45.484,6814,30.69437018
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.3CB1.I71PA16Rot1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.3,1,1,100,1,TRUE,FALSE,FALSE,0.054625,3549400,1.7465,320230,45.384,7056,31.7844843
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.4CB1.I71PA16Rot-1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.4,-1,1,100,1,TRUE,FALSE,FALSE,0.054032,3399600,1.8328,332190,45.592,7286,32.82054317
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.4CB1.I71PA16Rot1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.4,1,1,100,1,TRUE,FALSE,FALSE,0.053802,3660700,1.8013,347280,46.93,7400,33.334068
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.3CB1.I71PA16Rot-1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.3,-1,1,100,1,TRUE,FALSE,FALSE,0.054048,3486600,1.7156,339070,45.642,7429,33.46470151
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.5CB1.I71PA16Rot1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.5,1,1,100,1,TRUE,FALSE,FALSE,0.049038,3682300,1.8119,313140,40.636,7706,34.71247676
Per-emb-14-Vsys7.63_LineC18O_21_Pix0.054as-0.041666860312837kmps_D300M0.6CB1.I71PA16Rot-1Rout100.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW2.09_Beam0.538x0.383PA-20.25.fits,0.6,-1,1,100,1,TRUE,FALSE,FALSE,0.048728,3731900,2.012,311340,40.241,7737,34.85211948
