Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.1CB300.I54PA48Rot1Rout300.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.1,1,1,300,300,FALSE,TRUE,FALSE,0.034399,4499100,2.2138,5220.2,5.5593,939,3.962807422
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.5CB300.I54PA48Rot1Rout300.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.5,1,200,300,300,FALSE,TRUE,FALSE,0.026218,3626300,1.7844,7598.6,8.0923,939,3.962807422
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M1.5CB350.I54PA48Rot1Rout400.Rin1._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,1.5,1,1,400,350,FALSE,FALSE,TRUE,0.027125,4765100,2.3447,8377.8,5.0047,1674,7.064685436
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.1CB300.I54PA48Rot1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.1,1,300,400,300,TRUE,FALSE,FALSE,0.03325,4539800,2.2339,9515.3,5.5808,1705,7.195512944
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.1CB250.I54PA48Rot1Rout400.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.1,1,200,400,250,FALSE,FALSE,TRUE,0.032729,5009900,2.4652,16842,9.8431,1711,7.220834397
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.5CB400.I54PA48Rot1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.5,1,300,400,400,FALSE,TRUE,FALSE,0.029348,4090400,2.0127,12392,7.2297,1714,7.233495124
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M1.1CB300.I54PA48Rot1Rout400.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,1.1,1,200,400,300,FALSE,FALSE,TRUE,0.034209,5176600,2.5472,19021,10.656,1785,7.53313232
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.9CB400.I54PA48Rot1Rout400.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.9,1,200,400,400,FALSE,TRUE,FALSE,0.029769,4546700,2.2373,19606,10.563,1856,7.832769516
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.1CB350.I54PA48Rot1Rout400.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.1,1,100,400,350,FALSE,FALSE,TRUE,0.039273,6611900,3.2535,23572,12.113,1946,8.212591313
Per-emb-30-Vsys7.114_LineC18O_21_Pix0.054as-0.041666851145574kmps_D300M0.5CB300.I54PA48Rot1Rout400.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.86_Beam0.554x0.397PA-15.23.fits,0.5,1,100,400,300,FALSE,FALSE,TRUE,0.028018,4613900,2.2703,21109,10.781,1958,8.26323422
